0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:31 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 17111
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:47 +0800] "GET /message_board//Principal.jsp?pageIndex=2&object=all HTTP/1.1" 200 11307
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:51 +0800] "GET /message_board//Principal.jsp?object=%E4%B9%A6%E8%AE%B0 HTTP/1.1" 200 13119
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:53 +0800] "GET /message_board//Principal.jsp?object=%E6%A0%A1%E9%95%BF HTTP/1.1" 200 12204
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:55 +0800] "GET /message_board//Principal.jsp?object=%E5%88%86%E7%AE%A1%E6%A0%A1%E9%95%BF HTTP/1.1" 200 13647
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:59 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:00 +0800] "GET /message_board//College.jsp?object=all HTTP/1.1" 200 17280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:00 +0800] "GET /message_board//img/college.png HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:20 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:20 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 8994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:46 +0800] "GET /message_board//result/Search_result.jsp?select=id&input=15 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:46 +0800] "GET /message_board//img/search_s.png HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:49 +0800] "GET /message_board//Details.jsp?index=15 HTTP/1.1" 200 10508
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:35:57 +0800] "GET /message_board//result/Search_result.jsp?select=title&input=%E5%9B%9B%E5%85%AD HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:36:11 +0800] "GET /message_board//Details.jsp?index=18 HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:36:15 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:36:16 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 8994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:36:17 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:37:50 +0800] "GET /message_board//Details.jsp?index=5 HTTP/1.1" 200 10843
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:38:11 +0800] "GET /message_board//Details.jsp?index=10 HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:38:24 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 17111
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:38:38 +0800] "GET /message_board//Principal.jsp?object=%E4%B9%A6%E8%AE%B0 HTTP/1.1" 200 13119
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:38:54 +0800] "GET /message_board//Principal.jsp?object=all&pageIndex=2 HTTP/1.1" 200 11307
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:38:57 +0800] "GET /message_board//Principal.jsp?pageIndex=1&object=all HTTP/1.1" 200 17111
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:39:00 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:39:01 +0800] "GET /message_board//College.jsp?object=all HTTP/1.1" 200 17280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:39:04 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:39:04 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 8994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:39:40 +0800] "POST /message_board/PublishServlet HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:39:40 +0800] "GET /message_board//img/Message_succed.png HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:40:04 +0800] "GET /message_board//result/Search_result.jsp?select=id&input=52 HTTP/1.1" 200 10638
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:40:07 +0800] "GET /message_board//Details.jsp?index=52 HTTP/1.1" 200 10085
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:40:20 +0800] "GET /message_board//result/Search_result.jsp?select=title&input=123 HTTP/1.1" 200 10662
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:40:22 +0800] "GET /message_board//Details.jsp?index=52 HTTP/1.1" 200 10085
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:40:26 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19244
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:41:15 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:41:16 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 8994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:41:24 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 17097
